mat,site,date,depth,min,sec,duration,bicolor_ind,bicolor,stripe,tp_stripe,ip_stripe,princess,tp_princess,ip_princess,redband,tp_redband,ip_redband,queen,surgeon,tang,rock,french,yellow_goat,spotted_goat,r_bi,r_yel,r_tstripe,r_iprince,r_qu,r_surgeon,r_tang,r_spot,r_ired,r_rock,r_french,r_tprince,r_tred
1,The Lake,15-Jul,14.9,28,1,1681,0,0,8,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.285544319,0.10707912,0,0,0,0,0,0,0,0,0
2,The Lake,15-Jul,16.8,6,21,381,0,0,23,0,23,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,2.362204724,2.362204724,0,0,0,0,0,0,0
3,The Lake,15-Jul,14.3,10,24,624,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.096153846,0,0,0,0,0,0,0,0
4,The Lake,15-Jul,NA,44,55,2695,2,61,0,0,0,25,0,25,0,0,0,0,10,8,0,0,0,4,1.358070501,0,0,0.556586271,0,0.222634508,0.178107607,0.089053803,0,0,0,0,0
5,Invisibles,14-Jul,NA,18,48,1128,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904255319,0,0,0,0,0,0,0,0,0,0,0,0
6,Invisibles,14-Jul,NA,28,1,1681,1,4,5,5,0,0,0,0,2,0,2,0,0,13,0,0,0,0,0.142772159,0,0.178465199,0,0,0,0.464009518,0,0.07138608,0,0,0,0
7,Invisibles,14-Jul,13.7,28,42,1722,3,15,3,3,0,1,0,1,0,0,0,0,27,0,49,3,5,0,0.522648084,0.174216028,0.104529617,0.034843206,0,0.940766551,0,0,0,1.707317073,0.104529617,0,0
8,Invisibles,14-Jul,13.5,33,44,2024,3,1,14,14,0,12,1,11,11,2,9,0,7,5,0,0,7,0,0.029644269,0.207509881,0.415019763,0.326086957,0,0.207509881,0.148221344,0,0.266798419,0,0,0.029644269,0.059288538
9,Bachelor,16-Jul,13.2,28,1,1681,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1041047,0,0,0,0,0,0,0,0,0,0,0,0
10,Bachelor,16-Jul,13.6,29,35,1775,3,124,9,0,9,79,0,79,27,1,26,10,0,0,0,0,0,0,4.191549296,0,0,2.670422535,0.338028169,0,0,0,0.878873239,0,0,0,0.033802817
11,Aquarius,17-Jul,17.3,25,12,1512,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0.119047619,0,0.119047619,0,0,0,0,0,0,0,0,0
12,Aquarius,17-Jul,15.6,29,46,1786,2,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0.06718925,0,0,0.134378499,0,0,0,0,0,0,0,0,0
13,Aquarius,17-Jul,14.9,26,44,1604,2,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037406484,0,0,0,0.149625935
14,Aquarius,17-Jul,16.1,28,24,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,2.676056338,0,0,0,0,0,0
15,Aquarius,17-Jul,NA,30,47,1847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Aquarius,17-Jul,15.9,28,1,1681,1,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499702558,0,0.321237359,0,0,0,0,0,0,0,0,0,0
17,Aquarius,17-Jul,13.4,26,26,1586,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189155107,0,0,0,0,0,0,0,0,0
18,Angel City,16-Jul,13.9,32,12,1932,3,71,16,5,11,2,0,2,0,0,0,0,0,0,0,0,0,2,2.204968944,0,0.155279503,0.062111801,0,0,0,0.062111801,0,0,0,0,0
19,Angel City,16-Jul,17,28,1,1681,3,41,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.463414634,0.142772159,0.321237359,0,0,0,0,0,0,0,0,0,0
20,Angel City,15-Jul,15,26,5,1565,2,16,363,108,255,60,60,0,5,0,5,0,0,2,0,0,48,0,0.61341853,1.840255591,4.14057508,0,0,0,0.076677316,0,0.191693291,0,0,2.300319489,0
21,Angel City,14-Jul,14.3,28,1,1681,2,26,7,0,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0.928019036,0,0,0.142772159,0,0,0,0,0,0,0,0,0
22,Angel City,12-Jul,,6,16,376,2,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.063829787,0,0,0,0.159574468,0,0,0,0,0,0,0,0